Hours,Pitch,Width,relative,quality
9.66,38,20,0.13,6
9.66,38,20,0.13,6
9.66,38,20,0.13,6
3.83,38,20,0.1,6
3.83,38,20,0.1,6
3.83,38,20,0.1,6
3.83,38,20,0.1,6
12.75,38,20,0.09,6
12.75,38,20,0.09,6
12.75,38,20,0.09,6
12.75,38,20,0.09,6
11.25,38,21,1.82,7
11.25,38,21,1.82,7
11.25,38,21,1.82,7
11.25,38,21,1.82,7
12.08,38,21,1.73,7
12.08,38,21,1.73,7
12.08,38,21,1.73,7
12.08,38,21,1.38,7
6.91,38,21,1.08,7
6.91,38,21,1.08,7
6.91,38,21,1.08,7
6.91,38,21,1.08,7
6.58,38,21,1.03,7
6.58,38,21,1.03,7
6.58,38,21,1.03,7
6.58,38,21,1.03,7
9.91,38,21,0.97,7
9.91,38,21,0.97,7
9.91,38,21,0.97,7
9.91,38,21,0.97,7
10.83,38,21,0.91,7
10.83,38,21,0.91,7
10.83,38,21,0.91,7
10.83,38,21,0.91,7
10.41,38,21,0.84,7
10.41,38,21,0.84,7
10.41,38,21,0.84,7
10.41,38,21,0.84,7
8,38,21,0.73,7
8,38,21,0.73,7
8,38,21,0.73,7
8,38,21,0.73,7
12.58,38,21,0.56,7
10.75,38,21,0.51,7
10.75,38,21,0.51,7
10.75,38,21,0.51,7
10.75,38,21,0.51,7
12.58,38,21,0.5,7
11.33,38,21,0.49,7
11.33,38,21,0.49,7
11.33,38,21,0.49,7
7.41,38,21,0.41,7
7.41,38,21,0.41,7
7.41,38,21,0.41,7
7.41,38,21,0.41,7
7.66,38,21,0.4,7
7.66,38,21,0.4,7
7.66,38,21,0.4,7
7.66,38,21,0.4,7
8.83,38,21,0.39,7
8.83,38,21,0.39,7
8.83,38,21,0.39,7
8.83,38,21,0.39,7
7.08,38,21,0.26,7
7.08,38,21,0.26,7
7.08,38,21,0.26,7
7.08,38,21,0.26,7
12.58,38,21,0.26,7
7.75,38,21,0.1,7
7.75,38,21,0.1,7
7.75,38,21,0.1,7
7.75,38,21,0.1,7
